G,L2,R2,W3,cg_R1,cg_R2,S11_Linear,S11_Real,S11_Img
150,34,18,9,30,27,0.46767549,0.22597209498234,-0.40945916876634
150,34,18,9,30,34,0.47428445,0.2282216335933,-0.41576382949621
150,34,18,9,30,41,0.48029585,0.23133917832026,-0.42090744759363
150,34,18,9,30,48,0.48495585,0.23466146300558,-0.42439478348234
150,34,18,9,30,55,0.48821925,0.23757867672368,-0.42650682810489
150,34,20,19,30,20,0.44515647,0.18356251357671,-0.4055417305736
150,34,20,19,30,27,0.45007046,0.17553462062698,-0.41442004727548
150,34,20,19,30,34,0.4584107,0.1680905143175,-0.42646601440697
150,34,20,19,30,41,0.46993103,0.16265128280615,-0.44085579671289
150,34,20,19,30,48,0.48397325,0.16004040587831,-0.45668937530295
150,34,20,19,30,55,0.49899904,0.16042331110447,-0.47241235316365
150,34,20,14,30,20,0.45193645,0.20123603534447,-0.4046608321693
150,34,20,14,30,27,0.45865555,0.19798834611358,-0.41372007220412
150,34,20,14,30,34,0.4675469,0.1964489057181,-0.42426851321219
150,34,20,14,30,41,0.47740941,0.19704691351795,-0.43483605985924
150,34,20,14,30,48,0.48726682,0.19954465710046,-0.44451321066614
150,34,20,14,30,55,0.49610791,0.20313234458533,-0.45258080889769
150,34,20,9,30,20,0.45335248,0.21736496919677,-0.39784532802176
150,34,20,9,30,27,0.45978118,0.21707505495841,-0.40531077768543
150,34,20,9,30,34,0.46695812,0.21824351749944,-0.41281703860157
150,34,20,9,30,41,0.4739749,0.22074539413518,-0.41942658840554
150,34,20,9,30,48,0.47994691,0.22406220263949,-0.42442527417146
150,34,20,9,30,55,0.48422362,0.2269281523169,-0.42774481696705
155,34,16,19,30,20,0.51236074,0.21849150902929,-0.46340684773167
155,34,16,19,30,27,0.52238043,0.21588436199534,-0.47564062215035
155,34,16,19,30,34,0.53335979,0.21496144473726,-0.48805965924589
155,34,16,19,30,41,0.54578989,0.21689102872065,-0.50075263527956
155,34,16,19,30,48,0.557826,0.2208798024033,-0.51211004916281
155,34,16,19,30,55,0.56797885,0.22599061181391,-0.5209370903884
155,34,16,14,30,20,0.52291373,0.2436550628213,-0.46264446000977
155,34,16,14,30,27,0.53212495,0.24508817925203,-0.47227782882996
155,34,16,14,30,34,0.54077813,0.24776248958626,-0.4806214032161
155,34,16,14,30,41,0.54910174,0.25204502382436,-0.487762897379
155,34,16,14,30,48,0.5558025,0.25661585030137,-0.49292981472688
155,34,16,14,30,55,0.56054589,0.26069034412913,-0.49614156225704
155,34,16,9,30,20,0.52467448,0.2635762037278,-0.45362651632367
155,34,16,9,30,27,0.53186,0.26635196801646,-0.46031492364793
155,34,16,9,30,34,0.53774804,0.26974414389405,-0.46514601975723
155,34,16,9,30,41,0.54270513,0.2737017141278,-0.4685717214267
155,34,18,9,30,48,0.5459403,0.2769966918681,-0.47038711728421
155,34,18,9,30,55,0.54728972,0.27913564285554,-0.47069362774375
155,34,18,19,30,20,0.49966052,0.21036851798327,-0.45318829458157
155,34,18,19,30,27,0.50766401,0.20456806073606,-0.4645851460127
155,34,18,19,30,34,0.51844919,0.20087338450807,-0.47789597374701
155,34,18,19,30,41,0.53187897,0.19997836304843,-0.49276277674939
155,34,18,19,30,48,0.5460022,0.20210263578026,-0.50708820127649
155,34,18,19,30,55,0.55873467,0.20618743563836,-0.51912585556155
155,34,18,14,30,20,0.5130613,0.23451175831721,-0.45629771251995
155,34,18,14,30,27,0.52148168,0.23381454821332,-0.46608376810936
155,34,18,14,30,34,0.53080106,0.23526784557668,-0.4757557159164
155,34,18,14,30,41,0.54046797,0.23861395706687,-0.48486485214721
155,34,18,14,30,48,0.54894231,0.24304866803437,-0.49210754276387
155,34,18,14,30,55,0.55517767,0.2473081480895,-0.49694181809472
155,34,18,9,30,20,0.5175948,0.25527637980996,-0.45022838711245
155,34,18,9,30,27,0.52451938,0.2569729707944,-0.45721218003443
155,34,18,9,30,34,0.53116089,0.25995240109224,-0.46314609040989
155,34,18,9,30,41,0.53704662,0.26355945626498,-0.4678608711026
155,34,18,9,30,48,0.54133064,0.2672468260687,-0.4706951395673
155,34,18,9,30,55,0.54346947,0.26960837373501,-0.47181381406292
155,34,20,19,30,20,0.48452075,0.20434961426912,-0.43929105784615
155,34,20,19,30,27,0.49035744,0.19545885225222,-0.44968491277329
155,34,20,19,30,34,0.50072878,0.18831391003057,-0.46392137482994
155,34,20,19,30,41,0.51414899,0.18303731116719,-0.48038458534888
155,34,20,19,30,48,0.5300216,0.18131085222928,-0.49791049137775
155,34,20,19,30,55,0.54583144,0.18272074320926,-0.51413896957106
155,34,20,14,30,20,0.50032012,0.22557740046946,-0.44655402120272
155,34,20,14,30,27,0.50837482,0.22269152836475,-0.45696914197826
155,34,20,14,30,34,0.51903655,0.22230492314393,-0.46896635402188
155,34,20,14,30,41,0.53003987,0.22393527210478,-0.48033609831891
155,34,20,14,30,48,0.54060944,0.22746855446107,-0.49032198566692
155,34,20,14,30,55,0.54897427,0.23155520553545,-0.49762401836196
155,34,20,9,30,20,0.50822631,0.24639828747075,-0.44446897783623
155,34,20,9,30,27,0.51559247,0.24690910232771,-0.45258399881475
155,34,20,9,30,34,0.52381034,0.24915453628069,-0.4607031233925
155,34,20,9,30,41,0.53107572,0.25247675894145,-0.46715305169491
155,34,20,9,30,48,0.53675443,0.25611300339328,-0.47163482841913
155,34,20,9,30,55,0.54010195,0.25877292462531,-0.47399802385125
140,34,16,19,40,20,0.27448384,0.15992606896518,-0.21990739533691
140,34,16,19,40,27,0.28124764,0.15450307170091,-0.23233261429955
140,34,16,19,40,34,0.29166659,0.15140788060262,-0.24710256911018
140,34,16,19,40,41,0.30562218,0.15105339136228,-0.26397767646511
140,34,16,19,40,48,0.32179551,0.15489843202085,-0.28073426700627
140,34,16,19,40,55,0.33920351,0.16289101823513,-0.2964896631185
140,34,16,14,40,20,0.27024937,0.17417966886681,-0.20232225545249
140,34,16,14,40,27,0.27813124,0.17318671655174,-0.21387558897788
140,34,16,14,40,34,0.28875107,0.17459294025695,-0.22682052668891
140,34,16,14,40,41,0.30151573,0.179789405992,-0.2393280884043
140,34,16,14,40,48,0.31475461,0.18719640909283,-0.25072700617452
140,34,16,14,40,55,0.32754985,0.19737905131891,-0.25933584406484
140,34,16,9,40,20,0.26433485,0.18612649435976,-0.18192068444803
140,34,16,9,40,27,0.2719874,0.18769275403624,-0.19171060531688
140,34,16,9,40,34,0.28140198,0.19186732778955,-0.20127264049525
140,34,16,9,40,41,0.29202028,0.19860528711293,-0.21000126606354
140,34,18,9,40,48,0.30202515,0.20685587442986,-0.21631644827453
140,34,18,9,40,55,0.31047199,0.21565119916464,-0.21969713032917
140,34,18,19,40,20,0.26640728,0.15396906131886,-0.2142252642042
140,34,18,19,40,27,0.27139943,0.14621877691885,-0.22596223068022
140,34,18,19,40,34,0.28045821,0.14048325655632,-0.24058210899186
140,34,18,19,40,41,0.29397321,0.13782984837354,-0.25801015629621
140,34,18,19,40,48,0.31036907,0.13868030586292,-0.2764366208224
140,34,18,19,40,55,0.32909552,0.14451439209311,-0.29475020070764
140,34,18,14,40,20,0.26204705,0.16776969032527,-0.19686943847095
140,34,18,14,40,27,0.26895556,0.16491012804025,-0.20866185409304
140,34,18,14,40,34,0.27884147,0.16468159826988,-0.22178069009858
140,34,18,14,40,41,0.29168334,0.16745909889006,-0.23618973470171
140,34,18,14,40,48,0.30542234,0.17385279701209,-0.24887279274219
140,34,18,14,40,55,0.31958298,0.18321531298588,-0.25992813173803
140,34,18,9,40,20,0.25708104,0.17985506856645,-0.17778742826109
140,34,18,9,40,27,0.26407472,0.18009427699522,-0.18790589026232
140,34,18,9,40,34,0.27329932,0.18301648139181,-0.19837541090913
140,34,18,9,40,41,0.28371315,0.18843058861797,-0.20798454241042
140,34,18,9,40,48,0.29456579,0.19623030762465,-0.21601996059297
140,34,18,9,40,55,0.30391496,0.20486840768601,-0.2209631249482
140,34,20,19,40,20,0.25798118,0.15018877891249,-0.20645565840272
140,34,20,19,40,27,0.26095252,0.14074349064069,-0.21694883796808
140,34,20,19,40,34,0.26777414,0.13167024093155,-0.23095835975439
140,34,20,19,40,41,0.27960359,0.12517909896722,-0.24836215047089
140,34,20,19,40,48,0.29567716,0.12255139248253,-0.26788385212504
140,34,20,19,40,55,0.3152541,0.1239651013314,-0.28904939665739
140,34,20,14,40,20,0.2533643,0.16224434658473,-0.19002678413472
140,34,20,14,40,27,0.25868382,0.15741570718867,-0.20132135977507
140,34,20,14,40,34,0.26737909,0.15467344399071,-0.21478849151254
140,34,20,14,40,41,0.27964476,0.15510989414521,-0.22999163590842
140,34,20,14,40,48,0.29398894,0.15914723093899,-0.24500920293761
140,34,20,14,40,55,0.30939749,0.16682986531902,-0.25878540486766
140,34,20,9,40,20,0.24953648,0.17438517620148,-0.17238051296074
140,34,20,9,40,27,0.25550964,0.1729757602877,-0.18265716009495
140,34,20,9,40,34,0.26422038,0.17396735154345,-0.1942502600095
140,34,20,9,40,41,0.27456805,0.17802020604972,-0.20491475765258
140,34,20,9,40,48,0.2853283,0.18405673493231,-0.214319609245
140,34,20,9,40,55,0.29623499,0.19271675532234,-0.22159058876182
145,34,16,19,40,20,0.38003847,0.15872428008311,-0.34520227878106
145,34,16,19,40,27,0.38911969,0.15392998086226,-0.35731488854696
145,34,16,19,40,34,0.40157306,0.15184451322258,-0.3717237339474
145,34,16,19,40,41,0.41634529,0.15352840500745,-0.38699086427937
145,34,16,19,40,48,0.43256266,0.15901887295432,-0.40227026567465
145,34,16,19,40,55,0.44637908,0.16767054058817,-0.41369149017248
145,34,16,14,40,20,0.3794164,0.17655250573991,-0.33564613628694
145,34,16,14,40,27,0.38905079,0.17655786473206,-0.34654361194719
145,34,16,14,40,34,0.40042671,0.17963695586974,-0.35776912706704
145,34,16,14,40,41,0.41201504,0.18581745512134,-0.36765395991231
145,34,16,14,40,48,0.42280122,0.19410898152709,-0.37553762865918
145,34,16,14,40,55,0.42998024,0.20309396477424,-0.37890840627555
145,34,16,9,40,20,0.37339211,0.19107605475407,-0.32049404605532
145,34,16,9,40,27,0.38147798,0.19367866138435,-0.32839148243834
145,34,16,9,40,34,0.39038476,0.19880391217575,-0.33573838277064
145,34,16,9,40,41,0.39830333,0.20574370646774,-0.34082514297977
145,34,18,9,40,48,0.40432671,0.2127717429775,-0.34356999247025
145,34,18,9,40,55,0.40733722,0.21942939991158,-0.34289722175417
145,34,18,19,40,20,0.36997339,0.15216485797297,-0.33712752626045
145,34,18,19,40,27,0.37767231,0.14517353267096,-0.34858982267931
145,34,18,19,40,34,0.38910826,0.14015328857742,-0.36295573548161
145,34,18,19,40,41,0.40422206,0.138248556858,-0.37983704094506
145,34,18,19,40,48,0.42165857,0.14065701388352,-0.39750660431748
145,34,18,19,40,55,0.43785129,0.14745839305644,-0.41227209059518
145,34,18,14,40,20,0.37014279,0.16869073390167,-0.32927285265423
145,34,18,14,40,27,0.37894887,0.16678501237567,-0.34012202237421
145,34,18,14,40,34,0.39038096,0.16784757128341,-0.35234760859792
145,34,18,14,40,41,0.4027302,0.17210378251266,-0.36402399098813
145,34,18,14,40,48,0.41576465,0.17960041992848,-0.37492009272908
145,34,18,14,40,55,0.42477314,0.18840700101018,-0.38064584393384
145,34,18,9,40,20,0.36518224,0.18280336100308,-0.31581092806587
145,34,18,9,40,27,0.37334638,0.18423421780656,-0.32444831452927
145,34,18,9,40,34,0.38271395,0.18824487396157,-0.33298209266171
145,34,18,9,40,41,0.39193242,0.19477988755426,-0.33989525202167
145,34,18,9,40,48,0.39943272,0.20182369608761,-0.34448157778914
145,34,18,9,40,55,0.40355726,0.2085437791134,-0.34525788561916
145,34,20,19,40,20,0.35916584,0.14773960631282,-0.32727123211002
145,34,20,19,40,27,0.36444936,0.13838349704927,-0.33708310910567
145,34,20,19,40,34,0.37408239,0.12991092785187,-0.35076350930587
145,34,20,19,40,41,0.38800261,0.12373354392035,-0.36773508697336
145,34,20,19,40,48,0.40639781,0.12158318222367,-0.38778413459142
145,34,20,19,40,55,0.42495856,0.12443672156979,-0.40632089719922
145,34,20,14,40,20,0.35956076,0.16211525268996,-0.32073446869272
145,34,20,14,40,27,0.36728902,0.15787817422713,-0.33146780020297
145,34,20,14,40,34,0.37827848,0.15616452759676,-0.34442991277176
145,34,20,14,40,41,0.39143028,0.15780858383558,-0.3581411920751
145,34,20,14,40,48,0.40589874,0.16324647120102,-0.37158441592753
145,34,20,14,40,55,0.41750275,0.17126553611719,-0.3807257514198
145,34,20,9,40,20,0.35643358,0.17595952600109,-0.30963262608248
145,34,20,9,40,27,0.36425254,0.17548814842018,-0.31890954122342
145,34,20,9,40,34,0.37394194,0.17778366182617,-0.32874495412619
145,34,20,9,40,41,0.38392163,0.18271885000717,-0.3374562910605
145,34,20,9,40,48,0.39319854,0.18938848823315,-0.34440323786312
145,34,20,9,40,55,0.39905432,0.19651028305777,-0.34712394103647
150,34,16,19,40,20,0.45674109,0.18277447660006,-0.41857125355462
150,34,16,19,40,27,0.46676226,0.1785158445568,-0.43126244602118
150,34,16,19,40,34,0.47976636,0.17709383559444,-0.44585319300414
150,34,16,19,40,41,0.49478506,0.17936699014168,-0.4610685835618
150,34,16,19,40,48,0.50980624,0.18547923296685,-0.47477956638348
150,34,16,19,40,55,0.52294806,0.19400228879246,-0.48552300286754
150,34,16,14,40,20,0.4632676,0.20444110909928,-0.41571628787056
150,34,16,14,40,27,0.47321327,0.20542084445149,-0.42629687563286
150,34,16,14,40,34,0.48434109,0.20941702786157,-0.4367146579486
150,34,16,14,40,41,0.49487756,0.21569424015322,-0.44537885043672
150,34,16,14,40,48,0.50322874,0.22327326146839,-0.45096578629573
150,34,16,14,40,55,0.50927306,0.23091230689999,-0.45389715595086
150,34,16,9,40,20,0.46174044,0.22244882049356,-0.40462400308517
150,34,16,9,40,27,0.46974775,0.22582391835429,-0.4119058009269
150,34,16,9,40,34,0.47735196,0.23098746654183,-0.4177427638324
150,34,16,9,40,41,0.48358014,0.23714738763554,-0.42143815841658
150,34,18,9,40,48,0.48733486,0.24286290940558,-0.42250763224082
150,34,18,9,40,55,0.48898543,0.24729158447942,-0.42184543938357
150,34,18,19,40,20,0.44576694,0.17618765402876,-0.4094663119623
150,34,18,19,40,27,0.45305347,0.16862632499987,-0.42049250015066
150,34,18,19,40,34,0.46648311,0.16442261641888,-0.43651733261321
150,34,18,19,40,41,0.48080892,0.16256689800272,-0.45243285240616
150,34,18,19,40,48,0.49903947,0.16623227172123,-0.47043388303367
150,34,18,19,40,55,0.51409728,0.1725804505378,-0.4841222213599
150,34,18,14,40,20,0.45375432,0.19589643477888,-0.40928872853836
150,34,18,14,40,27,0.46247266,0.19425406647594,-0.4196940495039
150,34,18,14,40,34,0.4751032,0.19676071367718,-0.43243227113202
150,34,18,14,40,41,0.48609997,0.20114773670519,-0.44250625071055
150,34,18,14,40,48,0.49755385,0.20874005068799,-0.45161947758039
150,34,18,14,40,55,0.50479409,0.21621817452178,-0.45611226209283
150,34,18,9,40,20,0.45443191,0.21365573556303,-0.40107278012987
150,34,18,9,40,27,0.46188498,0.2153414741143,-0.40861422812235
150,34,18,9,40,34,0.47140126,0.22036897632835,-0.4167199106474
150,34,18,9,40,41,0.47785664,0.22553725409167,-0.42128109275051
150,34,18,9,40,48,0.48409611,0.2320994469241,-0.42482561909034
150,34,18,9,40,55,0.48614434,0.23675543052031,-0.42459640887179
150,34,20,19,40,20,0.43136968,0.17152000149808,-0.39580011544463
150,34,20,19,40,27,0.43727018,0.16168389772681,-0.40627209075699
150,34,20,19,40,34,0.44738352,0.15276263572629,-0.42047354673037
150,34,20,19,40,41,0.46201802,0.14650183300623,-0.43812492217699
150,34,20,19,40,48,0.48044959,0.14462193867936,-0.45805905836429
150,34,20,19,40,55,0.49980352,0.14765101836883,-0.4773219784634
150,34,20,14,40,20,0.44036149,0.18770292119669,-0.39835389254393
150,34,20,14,40,27,0.44930354,0.18413529710069,-0.40983667192937
150,34,20,14,40,34,0.46079686,0.1829383950365,-0.42291703142983
150,34,20,14,40,41,0.47399612,0.18525731490258,-0.43626879645525
150,34,20,14,40,48,0.48712986,0.19104439601759,-0.44806315629818
150,34,20,14,40,55,0.49814405,0.19861748000327,-0.45678422850727
150,34,20,9,40,20,0.44380287,0.20471852179865,-0.39376503349382
150,34,20,9,40,27,0.45234997,0.20512587051067,-0.40316710051622
150,34,20,9,40,34,0.46174662,0.20797819131762,-0.41225355725791
150,34,20,9,40,41,0.47072181,0.21302019254989,-0.4197581179326
150,34,20,9,40,48,0.47796838,0.21916740202474,-0.42475058390315
150,34,20,9,40,55,0.48261269,0.22492169660439,-0.42698956572732
155,34,16,19,40,20,0.50372273,0.20702839066429,-0.45917866408021
155,34,16,19,40,27,0.514617,0.20334001921387,-0.47268619279998
155,34,16,19,40,34,0.52862206,0.20280575966724,-0.48807954277547
155,34,16,19,40,41,0.54407067,0.20611993810475,-0.50337555999469
155,34,16,19,40,48,0.55900882,0.21302778238405,-0.51664459192484
155,34,16,19,40,55,0.57112074,0.22172387036258,-0.52611632752927
155,34,16,14,40,20,0.51692673,0.23305315108421,-0.46137383757689
155,34,16,14,40,27,0.52735134,0.23513966582515,-0.47197268753173
155,34,16,14,40,34,0.53831287,0.23965955512624,-0.48194755983925
155,34,16,14,40,41,0.54827894,0.24630033930726,-0.48975498605666
155,34,16,14,40,48,0.55610845,0.25390833901927,-0.49466697042325
155,34,16,14,40,55,0.56067613,0.2604572915817,-0.49642085706061
155,34,16,9,40,20,0.51959033,0.25450953462963,-0.45295360989819
155,34,16,9,40,27,0.52731025,0.25859862866659,-0.45950412102502
155,34,16,9,40,34,0.5344511,0.26385238864292,-0.46472985025903
155,34,16,9,40,41,0.53982231,0.2695494426339,-0.46765672659896
155,34,18,9,40,48,0.54282926,0.27471132952925,-0.46813887402611
155,34,18,9,40,55,0.54363686,0.27804004616011,-0.46711301835937
