G,L2,R2,W3,cg_R1,cg_R2,S11_Linear
155,34,16,9,30,34,0.53774804
155,34,16,9,30,41,0.54270513
155,34,18,9,30,48,0.5459403
155,34,18,9,30,55,0.54728972
155,34,18,19,30,20,0.49966052
155,34,18,19,30,27,0.50766401
155,34,18,19,30,34,0.51844919
155,34,18,19,30,41,0.53187897
155,34,18,19,30,48,0.5460022
155,34,18,19,30,55,0.55873467
155,34,18,14,30,20,0.5130613
155,34,18,14,30,27,0.52148168
155,34,18,14,30,34,0.53080106
155,34,18,14,30,41,0.54046797
155,34,18,14,30,48,0.54894231
155,34,18,14,30,55,0.55517767
155,34,18,9,30,20,0.5175948
155,34,18,9,30,27,0.52451938
155,34,18,9,30,34,0.53116089
155,34,18,9,30,41,0.53704662
155,34,18,9,30,48,0.54133064
155,34,18,9,30,55,0.54346947
155,34,20,19,30,20,0.48452075
155,34,20,19,30,27,0.49035744
155,34,20,19,30,34,0.50072878
155,34,20,19,30,41,0.51414899
155,34,20,19,30,48,0.5300216
155,34,20,19,30,55,0.54583144
155,34,20,14,30,20,0.50032012
155,34,20,14,30,27,0.50837482
155,34,20,14,30,34,0.51903655
155,34,20,14,30,41,0.53003987
155,34,20,14,30,48,0.54060944
155,34,20,14,30,55,0.54897427
155,34,20,9,30,20,0.50822631
155,34,20,9,30,27,0.51559247
155,34,20,9,30,34,0.52381034
155,34,20,9,30,41,0.53107572
155,34,20,9,30,48,0.53675443
155,34,20,9,30,55,0.54010195
140,34,16,19,40,20,0.27448384
140,34,16,19,40,27,0.28124764
140,34,16,19,40,34,0.29166659
140,34,16,19,40,41,0.30562218
140,34,16,19,40,48,0.32179551
140,34,16,19,40,55,0.33920351
140,34,16,14,40,20,0.27024937
140,34,16,14,40,27,0.27813124
140,34,16,14,40,34,0.28875107
140,34,16,14,40,41,0.30151573
140,34,16,14,40,48,0.31475461
140,34,16,14,40,55,0.32754985
140,34,16,9,40,20,0.26433485
140,34,16,9,40,27,0.2719874
140,34,16,9,40,34,0.28140198
140,34,16,9,40,41,0.29202028
140,34,18,9,40,48,0.30202515
140,34,18,9,40,55,0.31047199
140,34,18,19,40,20,0.26640728
140,34,18,19,40,27,0.27139943
140,34,18,19,40,34,0.28045821
140,34,18,19,40,41,0.29397321
140,34,18,19,40,48,0.31036907
140,34,18,19,40,55,0.32909552
140,34,18,14,40,20,0.26204705
140,34,18,14,40,27,0.26895556
140,34,18,14,40,34,0.27884147
140,34,18,14,40,41,0.29168334
140,34,18,14,40,48,0.30542234
140,34,18,14,40,55,0.31958298
140,34,18,9,40,20,0.25708104
140,34,18,9,40,27,0.26407472
140,34,18,9,40,34,0.27329932
140,34,18,9,40,41,0.28371315
140,34,18,9,40,48,0.29456579
140,34,18,9,40,55,0.30391496
140,34,20,19,40,20,0.25798118
140,34,20,19,40,27,0.26095252
140,34,20,19,40,34,0.26777414
140,34,20,19,40,41,0.27960359
140,34,20,19,40,48,0.29567716
140,34,20,19,40,55,0.3152541
140,34,20,14,40,20,0.2533643
140,34,20,14,40,27,0.25868382
140,34,20,14,40,34,0.26737909
140,34,20,14,40,41,0.27964476
140,34,20,14,40,48,0.29398894
140,34,20,14,40,55,0.30939749
140,34,20,9,40,20,0.24953648
140,34,20,9,40,27,0.25550964
140,34,20,9,40,34,0.26422038
140,34,20,9,40,41,0.27456805
140,34,20,9,40,48,0.2853283
140,34,20,9,40,55,0.29623499
145,34,16,19,40,20,0.38003847
145,34,16,19,40,27,0.38911969
145,34,16,19,40,34,0.40157306
145,34,16,19,40,41,0.41634529
145,34,16,19,40,48,0.43256266
145,34,16,19,40,55,0.44637908
145,34,16,14,40,20,0.3794164
145,34,16,14,40,27,0.38905079
145,34,16,14,40,34,0.40042671
145,34,16,14,40,41,0.41201504
145,34,16,14,40,48,0.42280122
145,34,16,14,40,55,0.42998024
145,34,16,9,40,20,0.37339211
145,34,16,9,40,27,0.38147798
145,34,16,9,40,34,0.39038476
145,34,16,9,40,41,0.39830333
145,34,18,9,40,48,0.40432671
145,34,18,9,40,55,0.40733722
145,34,18,19,40,20,0.36997339
145,34,18,19,40,27,0.37767231
145,34,18,19,40,34,0.38910826
145,34,18,19,40,41,0.40422206
145,34,18,19,40,48,0.42165857
145,34,18,19,40,55,0.43785129
145,34,18,14,40,20,0.37014279
145,34,18,14,40,27,0.37894887
145,34,18,14,40,34,0.39038096
145,34,18,14,40,41,0.4027302
145,34,18,14,40,48,0.41576465
145,34,18,14,40,55,0.42477314
145,34,18,9,40,20,0.36518224
145,34,18,9,40,27,0.37334638
145,34,18,9,40,34,0.38271395
145,34,18,9,40,41,0.39193242
145,34,18,9,40,48,0.39943272
145,34,18,9,40,55,0.40355726
145,34,20,19,40,20,0.35916584
145,34,20,19,40,27,0.36444936
145,34,20,19,40,34,0.37408239
145,34,20,19,40,41,0.38800261
145,34,20,19,40,48,0.40639781
145,34,20,19,40,55,0.42495856
145,34,20,14,40,20,0.35956076
145,34,20,14,40,27,0.36728902
145,34,20,14,40,34,0.37827848
145,34,20,14,40,41,0.39143028
145,34,20,14,40,48,0.40589874
145,34,20,14,40,55,0.41750275
145,34,20,9,40,20,0.35643358
145,34,20,9,40,27,0.36425254
145,34,20,9,40,34,0.37394194
145,34,20,9,40,41,0.38392163
145,34,20,9,40,48,0.39319854
145,34,20,9,40,55,0.39905432
150,34,16,19,40,20,0.45674109
150,34,16,19,40,27,0.46676226
150,34,16,19,40,34,0.47976636
150,34,16,19,40,41,0.49478506
150,34,16,19,40,48,0.50980624
150,34,16,19,40,55,0.52294806
150,34,16,14,40,20,0.4632676
150,34,16,14,40,27,0.47321327
150,34,16,14,40,34,0.48434109
150,34,16,14,40,41,0.49487756
150,34,16,14,40,48,0.50322874
150,34,16,14,40,55,0.50927306
150,34,16,9,40,20,0.46174044
150,34,16,9,40,27,0.46974775
150,34,16,9,40,34,0.47735196
150,34,16,9,40,41,0.48358014
150,34,18,9,40,48,0.48733486
150,34,18,9,40,55,0.48898543
150,34,18,19,40,20,0.44576694
150,34,18,19,40,27,0.45305347
150,34,18,19,40,34,0.46648311
150,34,18,19,40,41,0.48080892
150,34,18,19,40,48,0.49903947
150,34,18,19,40,55,0.51409728
150,34,18,14,40,20,0.45375432
150,34,18,14,40,27,0.46247266
150,34,18,14,40,34,0.4751032
150,34,18,14,40,41,0.48609997
150,34,18,14,40,48,0.49755385
150,34,18,14,40,55,0.50479409
150,34,18,9,40,20,0.45443191
150,34,18,9,40,27,0.46188498
150,34,18,9,40,34,0.47140126
150,34,18,9,40,41,0.47785664
150,34,18,9,40,48,0.48409611
150,34,18,9,40,55,0.48614434
150,34,20,19,40,20,0.43136968
150,34,20,19,40,27,0.43727018
150,34,20,19,40,34,0.44738352
150,34,20,19,40,41,0.46201802
